SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,N_RUNS,AUROC (Mean ± SD),AUPRC (Mean ± SD),F1-Score (Mean ± SD),Brier (Mean ± SD),ECE (Mean ± SD)
F,GES,XGBoost,21,21,b1013a58f6a863d3,5,0.931 ± 0.003,0.387 ± 0.009,0.405 ± 0.016,0.01718 ± 0.00021,0.01196 ± 0.00104
F,GES,XGBoost,22,22,69b21fa79c76dd71,5,0.933 ± 0.002,0.391 ± 0.010,0.411 ± 0.007,0.01707 ± 0.00019,0.01161 ± 0.00082
F,GES,XGBoost,23,23,f3e9e90c8bf117ce,5,0.930 ± 0.002,0.415 ± 0.007,0.428 ± 0.021,0.01670 ± 0.00010,0.01194 ± 0.00086
F,GES,XGBoost,24,24,c8ff01f260326497,5,0.932 ± 0.004,0.415 ± 0.007,0.421 ± 0.010,0.01675 ± 0.00021,0.01149 ± 0.00073
F,GES,XGBoost,25,25,abf08a8f8a6d539b,5,0.932 ± 0.003,0.410 ± 0.007,0.422 ± 0.014,0.01680 ± 0.00022,0.01192 ± 0.00094
F,GES,XGBoost,26,26,4ef501c58a6274ae,5,0.930 ± 0.002,0.413 ± 0.013,0.412 ± 0.025,0.01677 ± 0.00024,0.01153 ± 0.00089
F,GES,XGBoost,27,27,cf0e758521eb792f,5,0.929 ± 0.002,0.419 ± 0.003,0.417 ± 0.009,0.01658 ± 0.00008,0.01165 ± 0.00050
F,GES,XGBoost,28,28,c043e118307ea018,5,0.930 ± 0.003,0.427 ± 0.006,0.399 ± 0.015,0.01654 ± 0.00013,0.01185 ± 0.00109
F,GES,XGBoost,29,29,dace13742e348e7e,5,0.932 ± 0.002,0.424 ± 0.008,0.393 ± 0.004,0.01657 ± 0.00015,0.01244 ± 0.00100
F,GES,XGBoost,30,30,bcd5503e9fd4ef7a,5,0.929 ± 0.002,0.434 ± 0.006,0.395 ± 0.010,0.01643 ± 0.00011,0.01160 ± 0.00056
F,GES,XGBoost,31,31,1b74e3840f4dcb5e,5,0.927 ± 0.003,0.432 ± 0.010,0.408 ± 0.012,0.01647 ± 0.00019,0.01141 ± 0.00074
F,GES,XGBoost,32,32,f8e9eae69271f27d,5,0.933 ± 0.002,0.442 ± 0.007,0.400 ± 0.015,0.01627 ± 0.00022,0.01199 ± 0.00041
F,GES,XGBoost,33,33,270cd88962214341,5,0.936 ± 0.002,0.442 ± 0.007,0.409 ± 0.019,0.01623 ± 0.00010,0.01217 ± 0.00050
F,GES,XGBoost,34,34,b154670abb75bb96,5,0.933 ± 0.003,0.442 ± 0.010,0.396 ± 0.022,0.01623 ± 0.00016,0.01161 ± 0.00046
F,GES,XGBoost,35,35,78535073af7929c5,5,0.933 ± 0.002,0.439 ± 0.007,0.414 ± 0.035,0.01628 ± 0.00009,0.01189 ± 0.00080
F,GOLEM,FFMLP,1,1,5d44aec594d57af8,5,0.451 ± 0.059,0.020 ± 0.002,0.026 ± 0.014,0.02167 ± 0.00003,0.00432 ± 0.00228
F,GOLEM,FFMLP,2,2,140b79aa06813104,5,0.412 ± 0.007,0.018 ± 0.001,0.036 ± 0.010,0.02174 ± 0.00009,0.00545 ± 0.00221
F,GOLEM,FFMLP,3,3,5932bb55e9f26353,5,0.417 ± 0.015,0.018 ± 0.001,0.026 ± 0.013,0.02171 ± 0.00004,0.00521 ± 0.00242
F,GOLEM,FFMLP,4,4,fe6d7575b1d442f2,5,0.419 ± 0.017,0.018 ± 0.000,0.038 ± 0.010,0.02171 ± 0.00003,0.00470 ± 0.00153
F,GOLEM,FFMLP,5,5,d91dafb8999ed110,5,0.520 ± 0.067,0.024 ± 0.005,0.043 ± 0.000,0.02166 ± 0.00003,0.00373 ± 0.00243
F,GOLEM,FFMLP,6,6,b5a36bb5b1ae7ab4,5,0.467 ± 0.057,0.021 ± 0.002,0.038 ± 0.015,0.02168 ± 0.00007,0.00441 ± 0.00104
F,GOLEM,FFMLP,7,7,6e8b26da04cb79b4,5,0.564 ± 0.064,0.031 ± 0.012,0.049 ± 0.010,0.02165 ± 0.00003,0.00352 ± 0.00179
F,GOLEM,FFMLP,8,8,688de5612780ce0a,5,0.609 ± 0.034,0.036 ± 0.011,0.050 ± 0.007,0.02160 ± 0.00006,0.00200 ± 0.00096
F,GOLEM,FFMLP,9,9,0dab5d0cf7d47bc3,5,0.733 ± 0.005,0.048 ± 0.002,0.072 ± 0.026,0.02153 ± 0.00017,0.00214 ± 0.00077
F,GOLEM,FFMLP,10,10,7f59bd501c3dbaab,5,0.724 ± 0.013,0.050 ± 0.005,0.080 ± 0.014,0.02143 ± 0.00006,0.00218 ± 0.00102
F,GOLEM,FFMLP,11,11,0511ae592ab833b7,5,0.728 ± 0.009,0.057 ± 0.003,0.061 ± 0.033,0.02144 ± 0.00025,0.00157 ± 0.00125
F,GOLEM,FFMLP,12,12,96fce1d1ba2fa699,5,0.738 ± 0.011,0.062 ± 0.004,0.076 ± 0.027,0.02137 ± 0.00020,0.00213 ± 0.00105
F,GOLEM,FFMLP,13,13,da2acca4fb88b2aa,5,0.743 ± 0.010,0.065 ± 0.005,0.077 ± 0.015,0.02138 ± 0.00018,0.00212 ± 0.00098
F,GOLEM,FFMLP,14,14,40021117058bf5f8,5,0.743 ± 0.005,0.065 ± 0.004,0.099 ± 0.013,0.02121 ± 0.00004,0.00142 ± 0.00054
F,GOLEM,FFMLP,15,15,06292a569571a05e,5,0.748 ± 0.004,0.067 ± 0.002,0.115 ± 0.020,0.02129 ± 0.00015,0.00262 ± 0.00082
F,GOLEM,FFMLP,16,16,b7b5c4109c72032c,5,0.741 ± 0.005,0.064 ± 0.002,0.100 ± 0.022,0.02138 ± 0.00025,0.00201 ± 0.00090
F,GOLEM,FFMLP,17,17,3a806dc9661ea3e8,5,0.746 ± 0.009,0.070 ± 0.007,0.112 ± 0.023,0.02130 ± 0.00017,0.00369 ± 0.00297
F,GOLEM,FFMLP,18,18,823207e695be1ff0,5,0.749 ± 0.006,0.071 ± 0.004,0.114 ± 0.012,0.02126 ± 0.00021,0.00222 ± 0.00040
F,GOLEM,FFMLP,19,19,1d74dd8a956d56e1,5,0.746 ± 0.009,0.068 ± 0.005,0.099 ± 0.004,0.02133 ± 0.00016,0.00240 ± 0.00136
F,GOLEM,FFMLP,20,20,1049748cd586d498,5,0.754 ± 0.004,0.073 ± 0.005,0.122 ± 0.022,0.02134 ± 0.00031,0.00274 ± 0.00088
F,GOLEM,FFMLP,21,21,d9428be70001da5d,5,0.763 ± 0.004,0.079 ± 0.005,0.126 ± 0.025,0.02135 ± 0.00022,0.00400 ± 0.00198
F,GOLEM,FFMLP,22,22,9147b30f4345a55a,5,0.763 ± 0.005,0.079 ± 0.007,0.126 ± 0.028,0.02128 ± 0.00035,0.00309 ± 0.00180
F,GOLEM,FFMLP,23,23,d48478f1798435b8,5,0.757 ± 0.007,0.075 ± 0.005,0.141 ± 0.021,0.02131 ± 0.00033,0.00388 ± 0.00102
F,GOLEM,FFMLP,24,24,6f2d862936d8ad71,5,0.767 ± 0.006,0.083 ± 0.004,0.135 ± 0.022,0.02120 ± 0.00024,0.00495 ± 0.00224
F,GOLEM,FFMLP,25,25,710761342f601788,5,0.770 ± 0.011,0.087 ± 0.011,0.153 ± 0.030,0.02133 ± 0.00021,0.00406 ± 0.00123
F,GOLEM,FFMLP,26,26,9dd66c347bd7a388,5,0.774 ± 0.005,0.087 ± 0.007,0.122 ± 0.031,0.02127 ± 0.00022,0.00410 ± 0.00099
F,GOLEM,LightGBM,1,1,5d44aec594d57af8,5,0.557 ± 0.000,0.027 ± 0.000,0.040 ± 0.000,0.02190 ± 0.00000,0.00357 ± 0.00000
F,GOLEM,LightGBM,2,2,140b79aa06813104,5,0.733 ± 0.000,0.044 ± 0.000,0.090 ± 0.000,0.02719 ± 0.00000,0.02704 ± 0.00000
F,GOLEM,LightGBM,3,3,5932bb55e9f26353,5,0.757 ± 0.002,0.065 ± 0.006,0.114 ± 0.021,0.02309 ± 0.00061,0.01928 ± 0.00149
F,GOLEM,LightGBM,4,4,fe6d7575b1d442f2,5,0.805 ± 0.006,0.117 ± 0.005,0.188 ± 0.013,0.02202 ± 0.00017,0.01903 ± 0.00077
F,GOLEM,LightGBM,5,5,d91dafb8999ed110,5,0.863 ± 0.004,0.166 ± 0.009,0.251 ± 0.024,0.02223 ± 0.00039,0.02073 ± 0.00058
F,GOLEM,LightGBM,6,6,b5a36bb5b1ae7ab4,5,0.895 ± 0.003,0.257 ± 0.008,0.319 ± 0.012,0.01956 ± 0.00026,0.01790 ± 0.00065
F,GOLEM,LightGBM,7,7,6e8b26da04cb79b4,5,0.889 ± 0.004,0.253 ± 0.011,0.343 ± 0.024,0.01994 ± 0.00027,0.01834 ± 0.00053
F,GOLEM,LightGBM,8,8,688de5612780ce0a,5,0.894 ± 0.004,0.254 ± 0.008,0.339 ± 0.012,0.02006 ± 0.00010,0.01884 ± 0.00029
F,GOLEM,LightGBM,9,9,0dab5d0cf7d47bc3,5,0.888 ± 0.002,0.284 ± 0.006,0.355 ± 0.007,0.02053 ± 0.00013,0.02002 ± 0.00042
F,GOLEM,LightGBM,10,10,7f59bd501c3dbaab,5,0.895 ± 0.003,0.272 ± 0.010,0.356 ± 0.009,0.02028 ± 0.00029,0.01947 ± 0.00044
F,GOLEM,LightGBM,11,11,0511ae592ab833b7,5,0.894 ± 0.002,0.283 ± 0.003,0.344 ± 0.020,0.02022 ± 0.00011,0.01975 ± 0.00055
F,GOLEM,LightGBM,12,12,96fce1d1ba2fa699,5,0.892 ± 0.004,0.301 ± 0.013,0.380 ± 0.032,0.02004 ± 0.00028,0.01955 ± 0.00055
F,GOLEM,LightGBM,13,13,da2acca4fb88b2aa,5,0.894 ± 0.003,0.311 ± 0.005,0.371 ± 0.031,0.01972 ± 0.00019,0.01907 ± 0.00030
F,GOLEM,LightGBM,14,14,40021117058bf5f8,5,0.884 ± 0.003,0.309 ± 0.007,0.368 ± 0.023,0.01964 ± 0.00021,0.01886 ± 0.00046
F,GOLEM,LightGBM,15,15,06292a569571a05e,5,0.887 ± 0.002,0.311 ± 0.012,0.351 ± 0.018,0.01945 ± 0.00032,0.01875 ± 0.00036
F,GOLEM,LightGBM,16,16,b7b5c4109c72032c,5,0.886 ± 0.002,0.314 ± 0.006,0.397 ± 0.013,0.01963 ± 0.00018,0.01916 ± 0.00043
F,GOLEM,LightGBM,17,17,3a806dc9661ea3e8,5,0.883 ± 0.005,0.336 ± 0.004,0.394 ± 0.011,0.01888 ± 0.00009,0.01804 ± 0.00035
F,GOLEM,LightGBM,18,18,823207e695be1ff0,5,0.883 ± 0.003,0.337 ± 0.007,0.370 ± 0.012,0.01887 ± 0.00023,0.01817 ± 0.00020
F,GOLEM,LightGBM,19,19,1d74dd8a956d56e1,5,0.879 ± 0.003,0.334 ± 0.006,0.373 ± 0.013,0.01894 ± 0.00014,0.01807 ± 0.00055
F,GOLEM,LightGBM,20,20,1049748cd586d498,5,0.879 ± 0.002,0.324 ± 0.006,0.357 ± 0.011,0.01914 ± 0.00016,0.01858 ± 0.00030
F,GOLEM,LightGBM,21,21,d9428be70001da5d,5,0.878 ± 0.004,0.341 ± 0.012,0.387 ± 0.010,0.01899 ± 0.00023,0.01825 ± 0.00037
F,GOLEM,LightGBM,22,22,9147b30f4345a55a,5,0.878 ± 0.004,0.341 ± 0.003,0.380 ± 0.008,0.01886 ± 0.00010,0.01817 ± 0.00023
F,GOLEM,LightGBM,23,23,d48478f1798435b8,5,0.891 ± 0.004,0.346 ± 0.008,0.374 ± 0.015,0.01920 ± 0.00014,0.01865 ± 0.00034
F,GOLEM,LightGBM,24,24,6f2d862936d8ad71,5,0.886 ± 0.005,0.346 ± 0.012,0.377 ± 0.022,0.01916 ± 0.00024,0.01867 ± 0.00029
F,GOLEM,LightGBM,25,25,710761342f601788,5,0.889 ± 0.005,0.350 ± 0.012,0.386 ± 0.027,0.01903 ± 0.00031,0.01880 ± 0.00077
F,GOLEM,LightGBM,26,26,9dd66c347bd7a388,5,0.889 ± 0.004,0.347 ± 0.007,0.379 ± 0.036,0.01910 ± 0.00026,0.01904 ± 0.00037
F,GOLEM,Logit,1,1,5d44aec594d57af8,5,0.422 ± 0.000,0.021 ± 0.000,0.043 ± 0.000,0.02161 ± 0.00000,0.00078 ± 0.00000
F,GOLEM,Logit,2,2,140b79aa06813104,5,0.426 ± 0.000,0.021 ± 0.000,0.043 ± 0.000,0.02163 ± 0.00000,0.00087 ± 0.00000
F,GOLEM,Logit,3,3,5932bb55e9f26353,5,0.424 ± 0.000,0.021 ± 0.000,0.043 ± 0.000,0.02164 ± 0.00000,0.00091 ± 0.00000
F,GOLEM,Logit,4,4,fe6d7575b1d442f2,5,0.422 ± 0.000,0.021 ± 0.000,0.043 ± 0.000,0.02165 ± 0.00000,0.00100 ± 0.00000
F,GOLEM,Logit,5,5,d91dafb8999ed110,5,0.355 ± 0.000,0.019 ± 0.000,0.043 ± 0.000,0.02167 ± 0.00000,0.00096 ± 0.00000
F,GOLEM,Logit,6,6,b5a36bb5b1ae7ab4,5,0.381 ± 0.000,0.018 ± 0.000,0.043 ± 0.000,0.02169 ± 0.00000,0.00118 ± 0.00000
F,GOLEM,Logit,7,7,6e8b26da04cb79b4,5,0.383 ± 0.000,0.018 ± 0.000,0.043 ± 0.000,0.02169 ± 0.00000,0.00118 ± 0.00000
F,GOLEM,Logit,8,8,688de5612780ce0a,5,0.538 ± 0.000,0.023 ± 0.000,0.044 ± 0.000,0.02180 ± 0.00000,0.00164 ± 0.00000
F,GOLEM,Logit,9,9,0dab5d0cf7d47bc3,5,0.610 ± 0.000,0.030 ± 0.000,0.044 ± 0.000,0.02184 ± 0.00000,0.00205 ± 0.00000
F,GOLEM,Logit,10,10,7f59bd501c3dbaab,5,0.590 ± 0.000,0.027 ± 0.000,0.044 ± 0.000,0.02185 ± 0.00000,0.00204 ± 0.00000
F,GOLEM,Logit,11,11,0511ae592ab833b7,5,0.583 ± 0.000,0.027 ± 0.000,0.049 ± 0.000,0.02191 ± 0.00000,0.00250 ± 0.00000
F,GOLEM,Logit,12,12,96fce1d1ba2fa699,5,0.704 ± 0.000,0.047 ± 0.000,0.083 ± 0.000,0.02169 ± 0.00000,0.00339 ± 0.00000
F,GOLEM,Logit,13,13,da2acca4fb88b2aa,5,0.704 ± 0.000,0.049 ± 0.000,0.079 ± 0.000,0.02212 ± 0.00000,0.00394 ± 0.00000
F,GOLEM,Logit,14,14,40021117058bf5f8,5,0.706 ± 0.000,0.049 ± 0.000,0.118 ± 0.000,0.02206 ± 0.00000,0.00400 ± 0.00000
F,GOLEM,Logit,15,15,06292a569571a05e,5,0.707 ± 0.000,0.049 ± 0.000,0.086 ± 0.000,0.02206 ± 0.00000,0.00400 ± 0.00000
F,GOLEM,Logit,16,16,b7b5c4109c72032c,5,0.708 ± 0.000,0.049 ± 0.000,0.086 ± 0.000,0.02205 ± 0.00000,0.00430 ± 0.00000
F,GOLEM,Logit,17,17,3a806dc9661ea3e8,5,0.710 ± 0.000,0.050 ± 0.000,0.079 ± 0.000,0.02200 ± 0.00000,0.00406 ± 0.00000
F,GOLEM,Logit,18,18,823207e695be1ff0,5,0.711 ± 0.000,0.050 ± 0.000,0.080 ± 0.000,0.02201 ± 0.00000,0.00345 ± 0.00000
F,GOLEM,Logit,19,19,1d74dd8a956d56e1,5,0.711 ± 0.000,0.051 ± 0.000,0.080 ± 0.000,0.02202 ± 0.00000,0.00344 ± 0.00000
F,GOLEM,Logit,20,20,1049748cd586d498,5,0.716 ± 0.000,0.052 ± 0.000,0.086 ± 0.000,0.02204 ± 0.00000,0.00316 ± 0.00000
F,GOLEM,Logit,21,21,d9428be70001da5d,5,0.734 ± 0.000,0.058 ± 0.000,0.128 ± 0.000,0.02205 ± 0.00000,0.00392 ± 0.00000
F,GOLEM,Logit,22,22,9147b30f4345a55a,5,0.735 ± 0.000,0.060 ± 0.000,0.130 ± 0.000,0.02212 ± 0.00000,0.00409 ± 0.00000
F,GOLEM,Logit,23,23,d48478f1798435b8,5,0.736 ± 0.000,0.060 ± 0.000,0.130 ± 0.000,0.02205 ± 0.00000,0.00413 ± 0.00000
F,GOLEM,Logit,24,24,6f2d862936d8ad71,5,0.736 ± 0.000,0.060 ± 0.000,0.130 ± 0.000,0.02205 ± 0.00000,0.00420 ± 0.00000
F,GOLEM,Logit,25,25,710761342f601788,5,0.740 ± 0.000,0.063 ± 0.000,0.145 ± 0.000,0.02198 ± 0.00000,0.00361 ± 0.00000
F,GOLEM,Logit,26,26,9dd66c347bd7a388,5,0.741 ± 0.000,0.064 ± 0.000,0.148 ± 0.000,0.02197 ± 0.00000,0.00349 ± 0.00000
F,GOLEM,RF,1,1,5d44aec594d57af8,5,0.502 ± 0.009,0.022 ± 0.000,0.004 ± 0.010,0.03402 ± 0.00008,0.04289 ± 0.00014
F,GOLEM,RF,2,2,140b79aa06813104,5,0.681 ± 0.005,0.041 ± 0.001,0.092 ± 0.006,0.02378 ± 0.00006,0.02125 ± 0.00074
F,GOLEM,RF,3,3,5932bb55e9f26353,5,0.754 ± 0.003,0.071 ± 0.001,0.081 ± 0.032,0.02152 ± 0.00002,0.00951 ± 0.00083
F,GOLEM,RF,4,4,fe6d7575b1d442f2,5,0.802 ± 0.008,0.122 ± 0.003,0.174 ± 0.026,0.02085 ± 0.00005,0.00952 ± 0.00072
F,GOLEM,RF,5,5,d91dafb8999ed110,5,0.871 ± 0.003,0.199 ± 0.004,0.254 ± 0.008,0.01983 ± 0.00008,0.00917 ± 0.00122
F,GOLEM,RF,6,6,b5a36bb5b1ae7ab4,5,0.879 ± 0.005,0.282 ± 0.005,0.334 ± 0.013,0.01834 ± 0.00003,0.00544 ± 0.00050
F,GOLEM,RF,7,7,6e8b26da04cb79b4,5,0.890 ± 0.009,0.273 ± 0.004,0.344 ± 0.005,0.01833 ± 0.00009,0.00399 ± 0.00076
F,GOLEM,RF,8,8,688de5612780ce0a,5,0.891 ± 0.005,0.253 ± 0.004,0.350 ± 0.003,0.01854 ± 0.00005,0.00573 ± 0.00051
F,GOLEM,RF,9,9,0dab5d0cf7d47bc3,5,0.887 ± 0.012,0.268 ± 0.006,0.348 ± 0.016,0.01842 ± 0.00008,0.00485 ± 0.00077
F,GOLEM,RF,10,10,7f59bd501c3dbaab,5,0.894 ± 0.008,0.271 ± 0.007,0.353 ± 0.010,0.01830 ± 0.00009,0.00398 ± 0.00060
F,GOLEM,RF,11,11,0511ae592ab833b7,5,0.895 ± 0.005,0.275 ± 0.004,0.375 ± 0.021,0.01824 ± 0.00006,0.00374 ± 0.00066
F,GOLEM,RF,12,12,96fce1d1ba2fa699,5,0.894 ± 0.008,0.275 ± 0.003,0.329 ± 0.014,0.01823 ± 0.00003,0.00453 ± 0.00144
F,GOLEM,RF,13,13,da2acca4fb88b2aa,5,0.892 ± 0.005,0.268 ± 0.006,0.356 ± 0.016,0.01836 ± 0.00008,0.00494 ± 0.00097
F,GOLEM,RF,14,14,40021117058bf5f8,5,0.896 ± 0.008,0.270 ± 0.003,0.359 ± 0.008,0.01830 ± 0.00003,0.00348 ± 0.00025
F,GOLEM,RF,15,15,06292a569571a05e,5,0.893 ± 0.003,0.270 ± 0.006,0.339 ± 0.014,0.01832 ± 0.00007,0.00468 ± 0.00091
F,GOLEM,RF,16,16,b7b5c4109c72032c,5,0.898 ± 0.009,0.258 ± 0.003,0.315 ± 0.003,0.01859 ± 0.00003,0.00395 ± 0.00039
F,GOLEM,RF,17,17,3a806dc9661ea3e8,5,0.895 ± 0.005,0.261 ± 0.006,0.317 ± 0.010,0.01850 ± 0.00011,0.00519 ± 0.00064
F,GOLEM,RF,18,18,823207e695be1ff0,5,0.891 ± 0.006,0.263 ± 0.003,0.317 ± 0.027,0.01845 ± 0.00005,0.00430 ± 0.00053
F,GOLEM,RF,19,19,1d74dd8a956d56e1,5,0.895 ± 0.004,0.266 ± 0.005,0.318 ± 0.016,0.01841 ± 0.00007,0.00401 ± 0.00064
F,GOLEM,RF,20,20,1049748cd586d498,5,0.895 ± 0.008,0.263 ± 0.004,0.323 ± 0.010,0.01845 ± 0.00005,0.00440 ± 0.00043
F,GOLEM,RF,21,21,d9428be70001da5d,5,0.893 ± 0.007,0.271 ± 0.009,0.315 ± 0.018,0.01834 ± 0.00013,0.00358 ± 0.00081
F,GOLEM,RF,22,22,9147b30f4345a55a,5,0.898 ± 0.008,0.275 ± 0.005,0.338 ± 0.008,0.01828 ± 0.00011,0.00341 ± 0.00067
F,GOLEM,RF,23,23,d48478f1798435b8,5,0.895 ± 0.006,0.307 ± 0.010,0.367 ± 0.008,0.01773 ± 0.00006,0.00346 ± 0.00091
F,GOLEM,RF,24,24,6f2d862936d8ad71,5,0.893 ± 0.003,0.309 ± 0.007,0.354 ± 0.014,0.01772 ± 0.00005,0.00293 ± 0.00059
F,GOLEM,RF,25,25,710761342f601788,5,0.895 ± 0.008,0.324 ± 0.007,0.374 ± 0.030,0.01749 ± 0.00005,0.00422 ± 0.00079
F,GOLEM,RF,26,26,9dd66c347bd7a388,5,0.897 ± 0.005,0.326 ± 0.006,0.382 ± 0.017,0.01750 ± 0.00006,0.00457 ± 0.00084
F,GOLEM,XGBoost,1,1,5d44aec594d57af8,5,0.568 ± 0.002,0.030 ± 0.000,0.047 ± 0.004,0.02171 ± 0.00000,0.00294 ± 0.00014
F,GOLEM,XGBoost,2,2,140b79aa06813104,5,0.707 ± 0.001,0.050 ± 0.000,0.089 ± 0.004,0.02184 ± 0.00003,0.00896 ± 0.00030
F,GOLEM,XGBoost,3,3,5932bb55e9f26353,5,0.805 ± 0.002,0.086 ± 0.004,0.164 ± 0.015,0.02148 ± 0.00011,0.01020 ± 0.00081
F,GOLEM,XGBoost,4,4,fe6d7575b1d442f2,5,0.833 ± 0.003,0.142 ± 0.004,0.186 ± 0.006,0.02089 ± 0.00011,0.01018 ± 0.00083
F,GOLEM,XGBoost,5,5,d91dafb8999ed110,5,0.891 ± 0.002,0.197 ± 0.007,0.266 ± 0.037,0.02033 ± 0.00023,0.00992 ± 0.00056
F,GOLEM,XGBoost,6,6,b5a36bb5b1ae7ab4,5,0.900 ± 0.002,0.276 ± 0.005,0.316 ± 0.007,0.01873 ± 0.00011,0.01036 ± 0.00060
F,GOLEM,XGBoost,7,7,6e8b26da04cb79b4,5,0.906 ± 0.003,0.280 ± 0.006,0.318 ± 0.018,0.01856 ± 0.00007,0.00952 ± 0.00069
F,GOLEM,XGBoost,8,8,688de5612780ce0a,5,0.906 ± 0.002,0.278 ± 0.010,0.328 ± 0.018,0.01846 ± 0.00013,0.00928 ± 0.00047
F,GOLEM,XGBoost,9,9,0dab5d0cf7d47bc3,5,0.897 ± 0.002,0.317 ± 0.004,0.372 ± 0.013,0.01810 ± 0.00017,0.01060 ± 0.00103
F,GOLEM,XGBoost,10,10,7f59bd501c3dbaab,5,0.898 ± 0.003,0.296 ± 0.013,0.364 ± 0.024,0.01831 ± 0.00019,0.01073 ± 0.00067
F,GOLEM,XGBoost,11,11,0511ae592ab833b7,5,0.899 ± 0.002,0.299 ± 0.009,0.364 ± 0.017,0.01823 ± 0.00014,0.01079 ± 0.00057
F,GOLEM,XGBoost,12,12,96fce1d1ba2fa699,5,0.891 ± 0.002,0.307 ± 0.008,0.364 ± 0.009,0.01811 ± 0.00008,0.01108 ± 0.00045
F,GOLEM,XGBoost,13,13,da2acca4fb88b2aa,5,0.888 ± 0.004,0.297 ± 0.007,0.343 ± 0.025,0.01826 ± 0.00009,0.01196 ± 0.00084
F,GOLEM,XGBoost,14,14,40021117058bf5f8,5,0.884 ± 0.002,0.305 ± 0.009,0.339 ± 0.017,0.01821 ± 0.00015,0.01161 ± 0.00050
F,GOLEM,XGBoost,15,15,06292a569571a05e,5,0.882 ± 0.003,0.314 ± 0.010,0.340 ± 0.014,0.01811 ± 0.00015,0.01151 ± 0.00034
F,GOLEM,XGBoost,16,16,b7b5c4109c72032c,5,0.883 ± 0.004,0.306 ± 0.008,0.331 ± 0.015,0.01841 ± 0.00010,0.01260 ± 0.00053
F,GOLEM,XGBoost,17,17,3a806dc9661ea3e8,5,0.883 ± 0.006,0.312 ± 0.007,0.351 ± 0.013,0.01817 ± 0.00015,0.01196 ± 0.00028
F,GOLEM,XGBoost,18,18,823207e695be1ff0,5,0.884 ± 0.005,0.322 ± 0.011,0.359 ± 0.016,0.01807 ± 0.00017,0.01230 ± 0.00051
F,GOLEM,XGBoost,19,19,1d74dd8a956d56e1,5,0.882 ± 0.003,0.323 ± 0.010,0.372 ± 0.010,0.01808 ± 0.00015,0.01179 ± 0.00047
F,GOLEM,XGBoost,20,20,1049748cd586d498,5,0.884 ± 0.003,0.321 ± 0.006,0.378 ± 0.007,0.01807 ± 0.00016,0.01229 ± 0.00035
F,GOLEM,XGBoost,21,21,d9428be70001da5d,5,0.886 ± 0.002,0.334 ± 0.007,0.392 ± 0.014,0.01782 ± 0.00024,0.01211 ± 0.00095
F,GOLEM,XGBoost,22,22,9147b30f4345a55a,5,0.885 ± 0.002,0.329 ± 0.010,0.387 ± 0.016,0.01792 ± 0.00019,0.01219 ± 0.00088
F,GOLEM,XGBoost,23,23,d48478f1798435b8,5,0.887 ± 0.006,0.330 ± 0.010,0.388 ± 0.010,0.01799 ± 0.00022,0.01255 ± 0.00039
F,GOLEM,XGBoost,24,24,6f2d862936d8ad71,5,0.885 ± 0.005,0.336 ± 0.008,0.378 ± 0.025,0.01792 ± 0.00020,0.01249 ± 0.00056
F,GOLEM,XGBoost,25,25,710761342f601788,5,0.883 ± 0.005,0.342 ± 0.013,0.396 ± 0.019,0.01776 ± 0.00035,0.01234 ± 0.00021
F,GOLEM,XGBoost,26,26,9dd66c347bd7a388,5,0.882 ± 0.003,0.328 ± 0.013,0.384 ± 0.013,0.01808 ± 0.00032,0.01251 ± 0.00048
F,NOTEARS,FFMLP,1,1,b93202c111b3750e,5,0.456 ± 0.063,0.020 ± 0.002,0.035 ± 0.014,0.02167 ± 0.00004,0.00451 ± 0.00243
F,NOTEARS,FFMLP,2,2,4f5cf972f16a40f0,5,0.415 ± 0.019,0.019 ± 0.002,0.043 ± 0.000,0.02170 ± 0.00008,0.00308 ± 0.00146
F,NOTEARS,FFMLP,3,3,d64d609cce45d57b,5,0.414 ± 0.018,0.018 ± 0.001,0.027 ± 0.015,0.02171 ± 0.00004,0.00367 ± 0.00185
F,NOTEARS,FFMLP,4,4,8adff992fd0706d4,5,0.424 ± 0.023,0.020 ± 0.002,0.026 ± 0.018,0.02170 ± 0.00004,0.00383 ± 0.00143
F,NOTEARS,FFMLP,5,5,b1dec7466d19e199,5,0.528 ± 0.024,0.023 ± 0.001,0.046 ± 0.002,0.02166 ± 0.00006,0.00198 ± 0.00044
F,NOTEARS,FFMLP,6,6,4219c68b6a956822,5,0.713 ± 0.015,0.049 ± 0.005,0.095 ± 0.024,0.02145 ± 0.00010,0.00205 ± 0.00062
F,NOTEARS,FFMLP,7,7,d340e014abdbde54,5,0.684 ± 0.030,0.041 ± 0.006,0.083 ± 0.013,0.02168 ± 0.00016,0.00163 ± 0.00047
F,NOTEARS,FFMLP,8,8,8e781898f93fae4c,5,0.725 ± 0.006,0.051 ± 0.002,0.079 ± 0.020,0.02147 ± 0.00008,0.00244 ± 0.00118
F,NOTEARS,FFMLP,9,9,7857f6e9cbcb7625,5,0.712 ± 0.006,0.054 ± 0.002,0.098 ± 0.022,0.02147 ± 0.00012,0.00282 ± 0.00138
F,NOTEARS,FFMLP,10,10,47b1e5f94b9b1a02,5,0.734 ± 0.010,0.058 ± 0.001,0.125 ± 0.006,0.02144 ± 0.00018,0.00283 ± 0.00148
